row_index,col_1,col_2,col_3,col_4,col_5
1,3,Jewelry,-32798.30,,
2,CA,Jewelry,2500,691182.47,
3,2,45770.69,,,
4,8888,661,,,
5,7934200.86,,,,
6,Shoes,,,,
7,2021,,,,
8,Store 3,,,,
9,Homestead,133797,,,
10,3434,,,,
11,2019Q4,,,,
12,Web,45.38,13.72,40.95,
13,6972,,,,
14,94813.04,36584,4,,
15,143675.84,94813.04,,,
16,6,,,,
17,5,,,,
18,11,,,,
19,MD,1718,,,
20,30558500.23,Patricia Taylor,11358920.58,,
21,skip,,,,
22,99998,67067,5,,
23,5009,568059240.50,566938.57,567959060.50,
24,99999,15,149999.85,,
25,985,7047498.98,22507600.05,,
26,184,"[11, 12, 1]",99,,
27,44444,10,15,6290,
28,15,23.08,100,1277451.79,
29,69859,Brand 429,1.42,,
30,10,-291.67,81.69,,
31,1000,1001,739.17,731.78,
32,1500227,45.76,268920,17.93,
33,4,13.42,40,,
34,5.90,64.78,35.22,books,64.42
35,64.72,95,18830,,
36,185,172,92.97,,
37,82,13.41,Electronics,42.86,
38,400,8945,15816.72,6326688,
39,1,5,Package was damaged,,
40,10546291.86,,,,
41,"['December', 'November']",,,,
42,12,2019,,,
43,Kentucky,4183.09,,,
44,NC,4183.09,,,
45,Manufacturer 626,112097.83,,,
46,20,489,78240,,
47,6,7,Jewelry,1278301.09,
48,2062,2,,,
49,1601,0.1468,351951,,
50,1,72.26,,,
51,BF2022-ELEC,200,104,6988.50,
52,WH-5924,60,81,,
53,678,13467,2666.19,,
54,87.44,88.99,card_declined,,
55,7350,7348,1993089.20,,
56,Mobile Chrome,Cart to Checkout,28.26,37.28,
57,0.16272,0.1724,0.08648,,
58,16.27,17.24,8.65,,
59,1.94,1.59,1.46,-0.42,
60,0.08,-0.008,0.088,,
61,19990,18.06,1.04,271390.8,13476.33
62,203.0.113.89,8,19,45678,Electronics
63,11,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
